epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.38,1.68433,2.59804,1.62201,0.6828,0.57799,0.62169,0.28529,1.65017,2.17757,1.56138,0.00332613,0.00332613,0.00332613
2,646.356,1.69275,1.86285,1.59688,0.64127,0.55311,0.55211,0.25907,1.69539,1.70676,1.58979,0.00659354,0.00659354,0.00659354
3,962.098,1.77597,1.73305,1.67732,0.5188,0.56172,0.5107,0.20262,1.98356,1.73084,1.85799,0.00979494,0.00979494,0.00979494
4,1276.14,1.82796,1.72404,1.74,0.69412,0.58848,0.61799,0.26368,1.93112,1.63609,1.81446,0.009703,0.009703,0.009703
5,1589.89,1.8001,1.60677,1.7084,0.62836,0.61244,0.60574,0.25361,1.8596,1.59499,1.77252,0.009604,0.009604,0.009604
6,1903.78,1.75233,1.54909,1.67172,0.71676,0.60766,0.65582,0.31227,1.76355,1.43701,1.68006,0.009505,0.009505,0.009505
7,2217.53,1.73168,1.5006,1.6506,0.70999,0.64689,0.67282,0.33014,1.71955,1.3553,1.62403,0.009406,0.009406,0.009406
8,2531.08,1.69828,1.43185,1.61397,0.72165,0.66411,0.68237,0.34406,1.69056,1.28621,1.62048,0.009307,0.009307,0.009307
9,2844.85,1.65974,1.37485,1.59462,0.79692,0.67217,0.71117,0.36932,1.63122,1.34406,1.57838,0.009208,0.009208,0.009208
10,3158.56,1.65238,1.36344,1.58634,0.77333,0.61914,0.68313,0.32734,1.73271,1.32864,1.62219,0.009109,0.009109,0.009109
11,3472.12,1.63311,1.34456,1.57184,0.76803,0.6555,0.7132,0.37443,1.59674,1.22996,1.54334,0.00901,0.00901,0.00901
12,3785.96,1.61799,1.30294,1.56345,0.76041,0.66411,0.7161,0.36981,1.66727,1.2555,1.58617,0.008911,0.008911,0.008911
13,4099.3,1.5949,1.27631,1.55021,0.81836,0.6622,0.74105,0.37479,1.64763,1.18964,1.57226,0.008812,0.008812,0.008812
14,4412.84,1.59417,1.26083,1.55253,0.80408,0.67944,0.73725,0.37834,1.65654,1.15306,1.58058,0.008713,0.008713,0.008713
15,4726.79,1.56821,1.22186,1.53053,0.75324,0.69091,0.73947,0.38931,1.62906,1.17144,1.55276,0.008614,0.008614,0.008614
16,5040.82,1.55623,1.20288,1.5254,0.80579,0.67894,0.73353,0.37537,1.65647,1.17113,1.56405,0.008515,0.008515,0.008515
17,5354.68,1.54745,1.19462,1.5122,0.81928,0.69187,0.7499,0.41156,1.56683,1.12045,1.49873,0.008416,0.008416,0.008416
18,5668.64,1.53973,1.17884,1.5003,0.79325,0.66822,0.73606,0.39159,1.61608,1.15226,1.5289,0.008317,0.008317,0.008317
19,5982.59,1.53281,1.15275,1.49772,0.78441,0.71292,0.75443,0.40185,1.58457,1.12359,1.49334,0.008218,0.008218,0.008218
20,6296.45,1.52679,1.15564,1.49148,0.7908,0.71196,0.76398,0.39594,1.60301,1.12813,1.51961,0.008119,0.008119,0.008119
21,6610.6,1.50806,1.13249,1.46817,0.83413,0.68517,0.75483,0.41689,1.54733,1.09485,1.49667,0.00802,0.00802,0.00802
22,6924.91,1.48667,1.10702,1.46866,0.83183,0.71483,0.77109,0.42616,1.52811,1.05694,1.46757,0.007921,0.007921,0.007921
23,7238.74,1.4977,1.11422,1.46485,0.82603,0.69063,0.74649,0.41406,1.54699,1.0795,1.45209,0.007822,0.007822,0.007822
24,7552.93,1.4874,1.1045,1.46403,0.8234,0.7139,0.7672,0.43071,1.51542,1.05503,1.4543,0.007723,0.007723,0.007723
25,7866.81,1.46876,1.08561,1.44801,0.83552,0.711,0.77376,0.42366,1.56362,1.03961,1.4793,0.007624,0.007624,0.007624
26,8180.58,1.46639,1.07147,1.4407,0.81926,0.71138,0.75923,0.4239,1.51203,1.02793,1.46645,0.007525,0.007525,0.007525
27,8494.65,1.45336,1.06088,1.43607,0.83,0.71196,0.76691,0.4289,1.50619,1.01486,1.44866,0.007426,0.007426,0.007426
28,8808.46,1.44813,1.05106,1.43084,0.83959,0.72344,0.77681,0.43045,1.51323,1.00606,1.44467,0.007327,0.007327,0.007327
